Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
1456/0.0007206727189513016,971/0.0008043744277389378,,,,,
1561/0.0007172572084349448,1110/0.0008043744277389378,,,,,
1794/0.0007172572084349448,1455/0.0008000958403573476,,,,,
2178/0.0007172572084349448,1848/0.0008000958403573476,,,,,
2166/0.0007172572084349448,674/0.0008000958403573476,,,,,
32/0.000710426187402231,1546/0.0008000958403573476,,,,,
1009/0.0007070106768858742,1207/0.0008000958403573476,,,,,
479/0.0007070106768858742,1539/0.0007958172529757575,,,,,
2449/0.0007070106768858742,1641/0.0007958172529757575,,,,,
272/0.0007070106768858742,751/0.0007915386655941674,,,,,
2519/0.0007035951663695172,492/0.0007915386655941674,,,,,
2211/0.0007035951663695172,1199/0.0007915386655941674,,,,,
793/0.0007035951663695172,872/0.0007872600782125774,,,,,
454/0.0007001796558531604,2423/0.0007872600782125774,,,,,
1900/0.0006967641453368035,913/0.0007829814908309873,,,,,
906/0.0006899331243040897,1739/0.0007829814908309873,,,,,
28/0.0006899331243040897,1946/0.0007829814908309873,,,,,
1614/0.0006899331243040897,1141/0.0007787029034493971,,,,,
554/0.0006865176137877329,843/0.0007787029034493971,,,,,
376/0.0006831021032713759,1544/0.0007787029034493971,,,,,
2241/0.0006796865927550191,2023/0.000774424316067807,,,,,
1973/0.0006796865927550191,1349/0.0007701457286862169,,,,,
2548/0.0006762710822386622,42/0.0007701457286862169,,,,,
2086/0.0006762710822386622,1995/0.0007658671413046269,,,,,
666/0.0006762710822386622,2407/0.0007658671413046269,,,,,
2066/0.0006762710822386622,2602/0.0007658671413046269,,,,,
2213/0.0006762710822386622,2289/0.0007658671413046269,,,,,
1164/0.0006762710822386622,1698/0.0007615885539230368,,,,,
1600/0.0006728555717223053,967/0.0007615885539230368,,,,,
462/0.0006728555717223053,1290/0.0007573099665414467,,,,,
1112/0.0006728555717223053,2226/0.0007573099665414467,,,,,
411/0.0006694400612059485,1037/0.0007573099665414467,,,,,
2051/0.0006694400612059485,1249/0.0007530313791598565,,,,,
833/0.0006694400612059485,546/0.0007530313791598565,,,,,
2623/0.0006660245506895916,1369/0.0007530313791598565,,,,,
252/0.0006660245506895916,1196/0.0007487527917782665,,,,,
2350/0.0006660245506895916,501/0.0007487527917782665,,,,,
883/0.0006660245506895916,1482/0.0007487527917782665,,,,,
667/0.000655778019140521,436/0.0007444742043966764,,,,,
1194/0.000652362508624164,2138/0.0007444742043966764,,,,,
1930/0.0006455314875914503,1691/0.0007401956170150863,,,,,
1559/0.0006455314875914503,1301/0.0007401956170150863,,,,,
296/0.0006421159770750934,2135/0.0007401956170150863,,,,,
2015/0.0006421159770750934,108/0.0007359170296334962,,,,,
2589/0.0006421159770750934,2022/0.0007316384422519062,,,,,
2017/0.0006421159770750934,2110/0.000727359854870316,,,,,
2179/0.0006421159770750934,2463/0.000727359854870316,,,,,
1372/0.0006387004665587365,908/0.0007230812674887259,,,,,
983/0.0006352849560423797,2491/0.0007188026801071358,,,,,
2523/0.0006352849560423797,1520/0.0007188026801071358,,,,,
541/0.0006352849560423797,652/0.0007188026801071358,,,,,
485/0.0006352849560423797,2557/0.0007188026801071358,,,,,
25/0.0006318694455260227,1654/0.0007145240927255457,,,,,
1108/0.0006318694455260227,1816/0.0007145240927255457,,,,,
1906/0.0006318694455260227,2662/0.0007102455053439557,,,,,
1980/0.0006318694455260227,2417/0.0007059669179623656,,,,,
1650/0.0006284539350096659,2103/0.0007016883305807754,,,,,
1969/0.0006216229139769521,2606/0.0007016883305807754,,,,,
2359/0.0006182074034605953,1227/0.0007016883305807754,,,,,
1966/0.0006113763824278815,2537/0.0006974097431991853,,,,,
2396/0.0006113763824278815,1613/0.0006974097431991853,,,,,
1471/0.0006113763824278815,130/0.0006974097431991853,,,,,
2471/0.0006113763824278815,1401/0.0006931311558175953,,,,,
1427/0.0006113763824278815,18/0.0006845739810544151,,,,,
1752/0.0006079608719115246,1339/0.000680295393672825,,,,,
1500/0.0006079608719115246,250/0.000680295393672825,,,,,
1150/0.0006079608719115246,1463/0.000680295393672825,,,,,
978/0.0006045453613951678,2415/0.000680295393672825,,,,,
204/0.0006011298508788108,143/0.000680295393672825,,,,,
1042/0.0006011298508788108,675/0.000680295393672825,,,,,
2180/0.0006011298508788108,1355/0.0006760168062912349,,,,,
2128/0.000597714340362454,1741/0.0006760168062912349,,,,,
685/0.000597714340362454,1701/0.0006760168062912349,,,,,
2005/0.000597714340362454,841/0.0006760168062912349,,,,,
2156/0.000594298829846097,1480/0.0006760168062912349,,,,,
1977/0.0005908833193297402,1531/0.0006760168062912349,,,,,
1049/0.0005908833193297402,1940/0.0006760168062912349,,,,,
945/0.0005908833193297402,539/0.0006760168062912349,,,,,
1670/0.0005908833193297402,2593/0.0006760168062912349,,,,,
720/0.0005806367877806696,1028/0.0006717382189096448,,,,,
2120/0.0005806367877806696,1128/0.0006717382189096448,,,,,
1357/0.0005806367877806696,635/0.0006717382189096448,,,,,
2490/0.0005772212772643127,1380/0.0006717382189096448,,,,,
474/0.0005738057667479559,2539/0.0006674596315280547,,,,,
2249/0.0005738057667479559,1737/0.0006589024567648745,,,,,
1661/0.0005669747457152421,1718/0.0006589024567648745,,,,,
1859/0.0005635592351988852,1105/0.0006589024567648745,,,,,
377/0.0005635592351988852,1528/0.0006546238693832844,,,,,
2673/0.0005635592351988852,398/0.0006503452820016943,,,,,
175/0.0005635592351988852,1488/0.0006460666946201042,,,,,
2393/0.0005635592351988852,1950/0.0006460666946201042,,,,,
2045/0.0005601437246825283,679/0.0006460666946201042,,,,,
1129/0.0005601437246825283,1917/0.0006417881072385141,,,,,
1389/0.0005567282141661714,799/0.0006375095198569241,,,,,
1000/0.0005567282141661714,400/0.0006375095198569241,,,,,
325/0.0005498971931334576,766/0.000633230932475334,,,,,
1076/0.0005498971931334576,280/0.000633230932475334,,,,,
2493/0.0005498971931334576,266/0.0006289523450937438,,,,,
160/0.0005464816826171008,2494/0.0006246737577121537,,,,,
2286/0.0005464816826171008,2521/0.0006203951703305637,,,,,
2308/0.0005464816826171008,2642/0.0006203951703305637,,,,,
1840/0.0005430661721007438,2198/0.0006203951703305637,,,,,
2256/0.0005430661721007438,182/0.0006161165829489736,,,,,
1440/0.0005430661721007438,602/0.0006161165829489736,,,,,
2416/0.000539650661584387,1804/0.0006118379955673835,,,,,
1688/0.000539650661584387,1403/0.0006118379955673835,,,,,
2487/0.0005362351510680302,1001/0.0006075594081857934,,,,,
2342/0.0005328196405516732,209/0.0006032808208042032,,,,,
2050/0.0005328196405516732,2079/0.0006032808208042032,,,,,
1411/0.0005294041300353164,1208/0.0006032808208042032,,,,,
2035/0.0005294041300353164,1894/0.0006032808208042032,,,,,
1902/0.0005294041300353164,1435/0.0006032808208042032,,,,,
965/0.0005259886195189595,92/0.0005990022334226132,,,,,
2036/0.0005259886195189595,2352/0.0005990022334226132,,,,,
804/0.0005259886195189595,1777/0.0005990022334226132,,,,,
1569/0.0005225731090026027,2353/0.0005947236460410231,,,,,
1920/0.0005191575984862457,1178/0.000590445058659433,,,,,
1903/0.0005191575984862457,2101/0.000590445058659433,,,,,
2185/0.0005157420879698889,1143/0.000590445058659433,,,,,
1687/0.0005157420879698889,2607/0.000590445058659433,,,,,
2573/0.0005157420879698889,1114/0.0005861664712778429,,,,,
1408/0.0005123265774535319,729/0.0005861664712778429,,,,,
1381/0.0005123265774535319,703/0.0005861664712778429,,,,,
1244/0.0005123265774535319,1054/0.0005861664712778429,,,,,
1119/0.0005089110669371751,1295/0.0005818878838962529,,,,,
235/0.0005089110669371751,465/0.0005818878838962529,,,,,
2546/0.0005089110669371751,1518/0.0005818878838962529,,,,,
1475/0.0005089110669371751,2387/0.0005818878838962529,,,,,
725/0.0005054955564208182,994/0.0005776092965146627,,,,,
2220/0.0005020800459044613,1508/0.0005733307091330726,,,,,
2329/0.0005020800459044613,1590/0.0005733307091330726,,,,,
1309/0.0005020800459044613,1162/0.0005690521217514825,,,,,
1524/0.0005020800459044613,582/0.0005690521217514825,,,,,
1205/0.0005020800459044613,2230/0.0005647735343698925,,,,,
2526/0.0005020800459044613,1735/0.0005647735343698925,,,,,
1316/0.0005020800459044613,188/0.0005647735343698925,,,,,
1481/0.0004986645353881044,577/0.0005647735343698925,,,,,
2074/0.0004986645353881044,2251/0.0005562163596067122,,,,,
2147/0.0004986645353881044,1788/0.0005562163596067122,,,,,
1599/0.0004952490248717476,642/0.0005562163596067122,,,,,
920/0.0004952490248717476,2151/0.0005562163596067122,,,,,
2421/0.0004918335143553908,2336/0.0005519377722251221,,,,,
1964/0.0004918335143553908,1167/0.000547659184843532,,,,,
1453/0.0004918335143553908,1863/0.000547659184843532,,,,,
2321/0.0004918335143553908,714/0.000547659184843532,,,,,
607/0.0004884180038390338,1829/0.0005391020100803519,,,,,
2374/0.00048500249332267693,1360/0.0005391020100803519,,,,,
326/0.00048500249332267693,561/0.0005348234226987618,,,,,
1746/0.00048158698280632004,811/0.0005305448353171716,,,,,
102/0.00048158698280632004,2355/0.0005305448353171716,,,,,
2603/0.00048158698280632004,1655/0.0005262662479355816,,,,,
1572/0.00048158698280632004,2649/0.0005262662479355816,,,,,
1993/0.00048158698280632004,409/0.0005219876605539915,,,,,
2630/0.00048158698280632004,529/0.0005219876605539915,,,,,
565/0.00048158698280632004,1107/0.0005219876605539915,,,,,
2210/0.00048158698280632004,1960/0.0005219876605539915,,,,,
1293/0.00047817147228996316,2409/0.0005219876605539915,,,,,
1292/0.0004747559617736063,1363/0.0005177090731724014,,,,,
2615/0.0004747559617736063,746/0.0005177090731724014,,,,,
2406/0.00047134045125724945,1460/0.0005134304857908113,,,,,
2253/0.00046792494074089256,1736/0.0005134304857908113,,,,,
842/0.00046792494074089256,1512/0.0005091518984092213,,,,,
216/0.00046792494074089256,2029/0.0005091518984092213,,,,,
1180/0.00046792494074089256,322/0.0005091518984092213,,,,,
2282/0.0004645094302245357,1690/0.0005048733110276311,,,,,
1779/0.0004645094302245357,2189/0.0005048733110276311,,,,,
2157/0.0004645094302245357,840/0.0005048733110276311,,,,,
116/0.0004610939197081788,2159/0.0005048733110276311,,,,,
2285/0.0004576784091918219,1270/0.0005048733110276311,,,,,
1454/0.0004576784091918219,2190/0.000500594723646041,,,,,
167/0.0004576784091918219,1954/0.000500594723646041,,,,,
1329/0.000454262898675465,1836/0.0004963161362644509,,,,,
153/0.000454262898675465,1272/0.0004963161362644509,,,,,
890/0.000454262898675465,68/0.0004963161362644509,,,,,
2313/0.000454262898675465,2647/0.0004963161362644509,,,,,
790/0.00045084738815910814,1625/0.0004920375488828608,,,,,
2170/0.00045084738815910814,1485/0.0004877589615012707,,,,,
1619/0.00045084738815910814,1299/0.0004877589615012707,,,,,
2637/0.00045084738815910814,2291/0.0004877589615012707,,,,,
223/0.00045084738815910814,2466/0.00048348037411968066,,,,,
472/0.00045084738815910814,2402/0.00048348037411968066,,,,,
702/0.00044743187764275126,1639/0.00048348037411968066,,,,,
743/0.00044743187764275126,2250/0.00048348037411968066,,,,,
950/0.00044743187764275126,1407/0.00048348037411968066,,,,,
854/0.00044743187764275126,896/0.00047492319935650047,,,,,
737/0.0004440163671263944,783/0.0004663660245933203,,,,,
2320/0.0004440163671263944,1568/0.0004663660245933203,,,,,
1121/0.0004440163671263944,1711/0.0004663660245933203,,,,,
966/0.0004440163671263944,2073/0.0004578088498301401,,,,,
641/0.0004440163671263944,670/0.00045353026244855,,,,,
1549/0.0004406008566100375,333/0.00045353026244855,,,,,
1640/0.0004406008566100375,2199/0.0004492516750669599,,,,,
1458/0.0004406008566100375,613/0.0004492516750669599,,,,,
2124/0.0004406008566100375,1379/0.0004492516750669599,,,,,
1529/0.0004371853460936806,2091/0.0004449730876853698,,,,,
418/0.0004371853460936806,304/0.0004449730876853698,,,,,
2202/0.0004337698355773237,683/0.0004449730876853698,,,,,
2418/0.0004337698355773237,600/0.0004406945003037797,,,,,
1038/0.0004337698355773237,973/0.0004406945003037797,,,,,
1567/0.0004337698355773237,970/0.0004364159129221896,,,,,
974/0.0004337698355773237,146/0.0004364159129221896,,,,,
987/0.00043035432506096684,1858/0.0004364159129221896,,,,,
538/0.00043035432506096684,2283/0.0004364159129221896,,,,,
620/0.00043035432506096684,2038/0.0004321373255405995,,,,,
1239/0.00043035432506096684,1211/0.0004321373255405995,,,,,
1486/0.00043035432506096684,1324/0.00042785873815900943,,,,,
1956/0.00043035432506096684,2527/0.00042785873815900943,,,,,
2134/0.00042693881454461,1760/0.0004235801507774193,,,,,
1533/0.00042693881454461,856/0.0004235801507774193,,,,,
1097/0.0004235233040282531,2636/0.00041930156339582925,,,,,
2122/0.0004235233040282531,1996/0.00041930156339582925,,,,,
2429/0.00042010779351189624,210/0.0004150229760142391,,,,,
391/0.00042010779351189624,2404/0.0004150229760142391,,,,,
605/0.00042010779351189624,1589/0.0004150229760142391,,,,,
928/0.00042010779351189624,1800/0.00041074438863264906,,,,,
2236/0.00041669228299553936,2097/0.00041074438863264906,,,,,
2457/0.00041669228299553936,991/0.00040646580125105894,,,,,
489/0.0004132767724791825,2293/0.00040646580125105894,,,,,
3/0.0004132767724791825,1850/0.00040646580125105894,,,,,
1400/0.0004132767724791825,2077/0.0004021872138694689,,,,,
1171/0.0004132767724791825,873/0.0004021872138694689,,,,,
2592/0.0004132767724791825,424/0.0004021872138694689,,,,,
732/0.0004132767724791825,1513/0.0003936300391062887,,,,,
1433/0.0004098612619628256,10/0.0003936300391062887,,,,,
2245/0.0004098612619628256,2625/0.0003936300391062887,,,,,
1725/0.0004064457514464687,1875/0.0003936300391062887,,,,,
1864/0.0004064457514464687,154/0.0003936300391062887,,,,,
1348/0.0004064457514464687,640/0.0003936300391062887,,,,,
232/0.0004064457514464687,2344/0.0003893514517246986,,,,,
1153/0.0004064457514464687,1277/0.0003893514517246986,,,,,
1786/0.0004030302409301118,493/0.0003893514517246986,,,,,
1367/0.00039961473041375494,1565/0.00038507286434310845,,,,,
624/0.00039961473041375494,2613/0.00038507286434310845,,,,,
753/0.00039961473041375494,531/0.00038507286434310845,,,,,
1833/0.00039961473041375494,1820/0.0003807942769615184,,,,,
2626/0.00039619921989739805,350/0.00037651568957992827,,,,,
1637/0.00039619921989739805,1629/0.00037651568957992827,,,,,
1390/0.00039619921989739805,878/0.0003722371021983382,,,,,
2235/0.00039278370938104117,2215/0.0003722371021983382,,,,,
1091/0.00039278370938104117,2191/0.000363679927435158,,,,,
532/0.00039278370938104117,2366/0.000363679927435158,,,,,
2532/0.00039278370938104117,177/0.000363679927435158,,,,,
117/0.00039278370938104117,2390/0.000363679927435158,,,,,
776/0.0003893681988646843,993/0.0003594013400535679,,,,,
2012/0.0003893681988646843,2326/0.0003594013400535679,,,,,
616/0.0003859526883483274,2658/0.0003594013400535679,,,,,
2380/0.0003859526883483274,997/0.0003594013400535679,,,,,
1845/0.00038253717783197057,885/0.00035512275267197784,,,,,
1545/0.0003791216673156137,1712/0.00035512275267197784,,,,,
927/0.0003791216673156137,2255/0.00035512275267197784,,,,,
1714/0.0003791216673156137,1530/0.0003508441652903877,,,,,
2048/0.0003791216673156137,1668/0.0003508441652903877,,,,,
2467/0.0003791216673156137,1393/0.0003508441652903877,,,,,
2618/0.0003757061567992568,2377/0.00034656557790879765,,,,,
1041/0.0003757061567992568,2010/0.00034656557790879765,,,,,
1693/0.0003757061567992568,1106/0.00034228699052720753,,,,,
1311/0.00036887513576654304,1250/0.00034228699052720753,,,,,
438/0.00036887513576654304,1163/0.00033800840314561747,,,,,
1942/0.00036887513576654304,435/0.00033800840314561747,,,,,
2258/0.00036545962525018615,968/0.00032945122838243723,,,,,
1566/0.00036545962525018615,297/0.00032945122838243723,,,,,
738/0.00036204411473382927,2560/0.00032517264100084716,,,,,
1494/0.0003586286042174724,615/0.00032517264100084716,,,,,
497/0.0003586286042174724,2549/0.00032517264100084716,,,,,
1669/0.0003552130937011155,1801/0.00032517264100084716,,,,,
806/0.0003552130937011155,1185/0.00032089405361925705,,,,,
1385/0.0003552130937011155,2013/0.00032089405361925705,,,,,
851/0.0003517975831847586,1889/0.00032089405361925705,,,,,
847/0.0003517975831847586,2646/0.000316615466237667,,,,,
916/0.00034838207266840173,2116/0.000316615466237667,,,,,
2188/0.00034838207266840173,2232/0.00031233687885607686,,,,,
1420/0.00034838207266840173,2297/0.00031233687885607686,,,,,
2485/0.00034496656215204485,286/0.00031233687885607686,,,,,
1738/0.00034496656215204485,1763/0.00031233687885607686,,,,,
836/0.00034496656215204485,2221/0.0003080582914744868,,,,,
912/0.00034496656215204485,1507/0.0003080582914744868,,,,,
622/0.00034496656215204485,1853/0.0003037797040928967,,,,,
1445/0.00034155105163568796,1893/0.0003037797040928967,,,,,
1879/0.00034155105163568796,2395/0.0003037797040928967,,,,,
1883/0.0003381355411193311,1267/0.0002995011167113066,,,,,
2627/0.0003381355411193311,1665/0.0002995011167113066,,,,,
2470/0.0003381355411193311,657/0.0002995011167113066,,,,,
1002/0.0003381355411193311,1365/0.0002952225293297165,,,,,
1805/0.0003381355411193311,2533/0.00029094394194812643,,,,,
946/0.00033472003060297425,2525/0.0002866653545665363,,,,,
496/0.00033472003060297425,1215/0.00028238676718494624,,,,,
1606/0.00033472003060297425,217/0.00028238676718494624,,,,,
1579/0.00033472003060297425,2280/0.00028238676718494624,,,,,
907/0.00033130452008661737,534/0.0002781081798033561,,,,,
802/0.0003278890095702605,1340/0.0002781081798033561,,,,,
2123/0.0003278890095702605,1439/0.000273829592421766,,,,,
300/0.0003278890095702605,1581/0.00026955100504017594,,,,,
469/0.0003278890095702605,2034/0.00026955100504017594,,,,,
1457/0.0003244734990539036,1918/0.0002652724176585858,,,,,
1254/0.0003244734990539036,1016/0.0002652724176585858,,,,,
726/0.0003210579885375467,910/0.00026099383027699576,,,,,
2130/0.0003210579885375467,2001/0.00026099383027699576,,,,,
1319/0.00031764247802118983,1948/0.00026099383027699576,,,,,
512/0.00031422696750483295,2140/0.00026099383027699576,,,,,
2150/0.00031422696750483295,206/0.00025671524289540564,,,,,
1406/0.00031422696750483295,1259/0.00025671524289540564,,,,,
2654/0.00031081145698847606,2106/0.00025671524289540564,,,,,
506/0.00031081145698847606,1204/0.00024815806813222545,,,,,
1947/0.0003073959464721192,2484/0.00024815806813222545,,,,,
305/0.0003039804359557623,2590/0.00024387948075063536,,,,,
1287/0.0003039804359557623,1939/0.00024387948075063536,,,,,
1235/0.0003005649254394054,1232/0.00023960089336904527,,,,,
1502/0.0003005649254394054,1313/0.00023960089336904527,,,,,
2248/0.0002971494149230485,2442/0.00023532230598745518,,,,,
105/0.00029373390440669164,1374/0.00023532230598745518,,,,,
1841/0.00029373390440669164,2669/0.00023104371860586508,,,,,
2184/0.00029373390440669164,1643/0.00023104371860586508,,,,,
1843/0.0002903183938903348,1596/0.000226765131224275,,,,,
1675/0.0002903183938903348,1770/0.000226765131224275,,,,,
2577/0.00028690288337397793,2234/0.000226765131224275,,,,,
2433/0.00028690288337397793,45/0.0002224865438426849,,,,,
2583/0.00028348737285762104,2347/0.0002224865438426849,,,,,
591/0.00028348737285762104,992/0.0002182079564610948,,,,,
2082/0.00028348737285762104,2049/0.00021392936907950472,,,,,
1392/0.00028348737285762104,861/0.00021392936907950472,,,,,
1509/0.00028007186234126416,2453/0.00021392936907950472,,,,,
2594/0.00028007186234126416,1447/0.00021392936907950472,,,,,
826/0.00028007186234126416,980/0.00020965078169791462,,,,,
2501/0.00028007186234126416,1732/0.00020965078169791462,,,,,
1622/0.00028007186234126416,214/0.00020537219431632453,,,,,
898/0.0002766563518249073,2260/0.00020537219431632453,,,,,
636/0.0002766563518249073,2639/0.00020109360693473444,,,,,
2656/0.0002732408413085504,2305/0.00020109360693473444,,,,,
1414/0.0002698253307921935,324/0.00020109360693473444,,,,,
2139/0.0002698253307921935,969/0.00019681501955314435,,,,,
612/0.0002698253307921935,2644/0.00019253643217155423,,,,,
2168/0.0002698253307921935,2155/0.00018825784478996414,,,,,
1291/0.00026299430975947974,2108/0.00018825784478996414,,,,,
828/0.00026299430975947974,2008/0.00017970067002678395,,,,,
918/0.00025957879924312286,2244/0.00017542208264519386,,,,,
2331/0.00025957879924312286,2240/0.00017542208264519386,,,,,
2167/0.00025616328872676597,1929/0.00017114349526360377,,,,,
2564/0.00025616328872676597,1296/0.00016258632050042358,,,,,
1968/0.00025616328872676597,526/0.0001583077331188335,,,,,
760/0.00025616328872676597,1515/0.0001583077331188335,,,,,
810/0.00025616328872676597,1197/0.0001583077331188335,,,,,
1422/0.0002527477782104091,1134/0.0001540291457372434,,,,,
1077/0.0002527477782104091,1957/0.0001497505583556533,,,,,
1769/0.0002527477782104091,1503/0.0001497505583556533,,,,,
2356/0.0002527477782104091,1907/0.00014119338359247312,,,,,
1773/0.0002493322676940522,1115/0.00014119338359247312,,,,,
1476/0.0002493322676940522,1644/0.000136914796210883,,,,,
1278/0.0002459167571776954,2060/0.00012407903406611273,,,,,
294/0.0002459167571776954,1672/0.00010696468453975236,,,,,
2665/0.00023908573614498158,2509/0.00010268609715816227,,,,,
1347/0.00023908573614498158,1959/0.00010268609715816227,,,,,
2204/0.00023908573614498158,2569/8.985033501339198e-05,,,,,
2095/0.00023567022562862472,2389/8.557174763180188e-05,,,,,
1396/0.00023225471511226784,1537/8.557174763180188e-05,,,,,
2518/0.00022883920459591096,1070/8.557174763180188e-05,,,,,
1472/0.00022883920459591096,1173/7.70145728686217e-05,,,,,
140/0.00022883920459591096,1790/7.273598548703161e-05,,,,,
2026/0.00022883920459591096,1432/6.84573981054415e-05,,,,,
1702/0.00022883920459591096,1839/6.417881072385141e-05,,,,,
1327/0.00022542369407955407,1983/5.990022334226132e-05,,,,,
1072/0.00022542369407955407,2556/4.7064461197491034e-05,,,,,
1395/0.00022542369407955407,2354/4.278587381590094e-05,,,,,
1137/0.00021517716253048342,2277/4.278587381590094e-05,,,,,
2040/0.00021176165201412656,592/3.422869905272075e-05,,,,,
2187/0.00021176165201412656,,,,,,
863/0.00020834614149776968,,,,,,
2540/0.0002049306309814128,,,,,,
173/0.0002049306309814128,,,,,,
1090/0.0002015151204650559,,,,,,
724/0.0002015151204650559,,,,,,
1869/0.00019809960994869903,,,,,,
875/0.00019809960994869903,,,,,,
1705/0.00019809960994869903,,,,,,
2524/0.00019468409943234214,,,,,,
2614/0.00019468409943234214,,,,,,
2131/0.00019468409943234214,,,,,,
2379/0.00019468409943234214,,,,,,
508/0.00019126858891598529,,,,,,
676/0.0001878530783996284,,,,,,
2508/0.0001878530783996284,,,,,,
335/0.0001878530783996284,,,,,,
1682/0.0001878530783996284,,,,,,
1684/0.0001878530783996284,,,,,,
704/0.0001878530783996284,,,,,,
1584/0.00018443756788327152,,,,,,
2111/0.00018102205736691463,,,,,,
2362/0.00018102205736691463,,,,,,
1330/0.00017760654685055775,,,,,,
2092/0.00017760654685055775,,,,,,
1696/0.00017760654685055775,,,,,,
1871/0.00017760654685055775,,,,,,
1251/0.00017077552581784398,,,,,,
1826/0.00016736001530148712,,,,,,
1556/0.00016736001530148712,,,,,,
1615/0.00016394450478513024,,,,,,
1338/0.00016052899426877336,,,,,,
2299/0.00016052899426877336,,,,,,
752/0.00016052899426877336,,,,,,
931/0.00015711348375241647,,,,,,
2648/0.00015711348375241647,,,,,,
2070/0.0001502824627197027,,,,,,
2270/0.0001502824627197027,,,,,,
2455/0.00014686695220334582,,,,,,
2600/0.00014686695220334582,,,,,,
410/0.00014686695220334582,,,,,,
1916/0.00014686695220334582,,,,,,
1511/0.00014345144168698896,,,,,,
2459/0.00014003593117063208,,,,,,
779/0.00014003593117063208,,,,,,
1934/0.00014003593117063208,,,,,,
2046/0.0001366204206542752,,,,,,
2579/0.0001366204206542752,,,,,,
2405/0.0001366204206542752,,,,,,
7/0.0001366204206542752,,,,,,
2551/0.0001366204206542752,,,,,,
1914/0.0001332049101379183,,,,,,
1505/0.0001332049101379183,,,,,,
2588/0.0001332049101379183,,,,,,
2227/0.00012978939962156143,,,,,,
1925/0.00012637388910520454,,,,,,
2427/0.00012637388910520454,,,,,,
719/0.00012637388910520454,,,,,,
394/0.0001229583785888477,,,,,,
755/0.0001229583785888477,,,,,,
1541/0.0001229583785888477,,,,,,
2100/0.0001229583785888477,,,,,,
2497/0.0001229583785888477,,,,,,
1884/0.0001229583785888477,,,,,,
1676/0.00011954286807249079,,,,,,
2655/0.00011954286807249079,,,,,,
575/0.00011954286807249079,,,,,,
1866/0.00011612735755613392,,,,,,
2031/0.00011612735755613392,,,,,,
1835/0.00011612735755613392,,,,,,
1865/0.00011612735755613392,,,,,,
1830/0.00011271184703977704,,,,,,
1085/0.00011271184703977704,,,,,,
2617/0.00011271184703977704,,,,,,
2479/0.00011271184703977704,,,,,,
2196/0.00010929633652342015,,,,,,
1350/0.00010588082600706328,,,,,,
2567/0.0001024653154907064,,,,,,
2462/9.904980497434951e-05,,,,,,
1184/9.904980497434951e-05,,,,,,
1967/9.904980497434951e-05,,,,,,
2310/9.904980497434951e-05,,,,,,
1279/9.904980497434951e-05,,,,,,
824/9.563429445799264e-05,,,,,,
1885/8.880327342527887e-05,,,,,,
2643/8.880327342527887e-05,,,,,,
2284/8.880327342527887e-05,,,,,,
1846/8.197225239256512e-05,,,,,,
2510/8.197225239256512e-05,,,,,,
2094/7.514123135985135e-05,,,,,,
2243/7.172572084349448e-05,,,,,,
2574/7.172572084349448e-05,,,,,,
329/7.172572084349448e-05,,,,,,
2052/7.172572084349448e-05,,,,,,
331/6.83102103271376e-05,,,,,,
922/6.489469981078071e-05,,,,,,
1033/6.489469981078071e-05,,,,,,
1922/6.147918929442384e-05,,,,,,
1413/6.147918929442384e-05,,,,,,
2346/5.12326577453532e-05,,,,,,
2520/4.781714722899632e-05,,,,,,
2486/4.440163671263944e-05,,,,,,
2575/3.073959464721192e-05,,,,,,
2531/3.073959464721192e-05,,,,,,
1262/2.390857361449816e-05,,,,,,
1953/2.390857361449816e-05,,,,,,
